history,counts,length,lengthsq,category
M0,1,22.99,528.54,
M0,1,20.23,409.25,
M0,1,21.33,454.97,
M0,1,21.02,441.84,
M0,1,20.19,407.64,
M0,1,20.23,409.25,
M0,1,22.51,506.70,
M0,1,20.62,425.18,
M0,1,20.27,410.87,
M0,1,21.92,480.49,
M0,1,22.44,503.55,
M0,1,19.88,395.21,
M0,1,17.2,295.84,
M0,1,20.43,417.38,
M0,1,19.37,375.20,
M0,1,20.47,419.02,
M0,1,20.39,415.75,
M0,1,19.6,384.16,
M0,1,15.82,250.27,
M0,1,18.85,355.32,
F0,1,18.89,356.83,
F0,1,17.99,323.64,
M0,1,20.23,409.25,
M0,1,21.92,480.49,
F0,1,22.63,512.12,
F0,1,26.06,679.12,
F0,1,24.72,611.08,
F0,1,25.9,670.81,
M0,1,21.45,460.10,
M0,1,15.55,241.80,
M0,1,18.5,342.25,
M0,1,22.12,489.29,
F0,1,26.96,726.84,
M0,1,22.67,513.93,
M0,1,23.22,539.17,
F0,1,18.18,330.51,
M0,1,19.88,395.21,
M0,1,15.94,254.08,
M0,1,19.96,398.40,
M0,1,18.81,353.82,
M0,1,17,289.00,
F0,1,17.4,302.76,
M0,1,15.74,247.75,
F0,1,19.29,372.10,
F0,1,23.14,535.46,
M0,1,16.33,266.67,
M0,1,23.46,550.37,
F0,1,22.04,485.76,
M0,1,15.47,239.32,
M0,1,14.68,215.50,
F0,1,18.5,342.25,
F0,1,18.5,342.25,
M0,1,23.74,563.59,
M0,1,21.45,460.10,
M0,1,20.59,423.95,
F0,1,25.66,658.44,
F0,1,19.88,395.21,
M0,1,17.28,298.60,
F0,1,24.48,599.27,
M0,1,23.22,539.17,
F0,1,19.52,381.03,
F0,1,23.22,539.17,
F0,1,23.74,563.59,
M0,1,17.4,302.76,
M0,1,22.71,515.74,
M0,1,21.25,451.56,
F0,1,17.71,313.64,
M0,1,18.81,353.82,
M0,1,20.27,410.87,
M0,1,18.11,327.97,
M0,1,22.04,485.76,
M0,1,16.61,275.89,
F0,1,20.78,431.81,
M0,1,17.12,293.09,
F0,1,22.12,489.29,
M0,1,21.88,478.73,
F0,1,22.51,506.70,
F0,1,25.66,658.44,
F0,1,23.62,557.90,
M0,1,22.28,496.40,
M0,1,17.16,294.47,
M0,1,20.07,402.80,
M0,1,20.23,409.25,
M0,1,19.44,377.91,
M0,1,17.55,308.00,
M0,1,15.98,255.36,
M0,1,15.19,230.74,
F0,1,19.48,379.47,
F0,1,21.65,468.72,
M0,1,18.89,356.83,
M0,1,22.12,489.29,
M0,1,15.74,247.75,
M0,1,18.5,342.25,
M0,1,15.35,235.62,
M0,1,17.63,310.82,
M0,1,17,289.00,
M0,1,14.76,217.86,
M0,1,21.85,477.42,
F0,1,21.57,465.26,
M0,1,17.32,299.98,
F0,1,20.55,422.30,
F0,1,19.76,390.46,
M0,1,16.61,275.89,
M0,1,15.82,250.27,
M0,1,14.05,197.40,
M0,1,17.83,317.91,
F0,1,20.94,438.48,
M0,1,16.69,278.56,
M0,1,16.92,286.29,
M0,1,19.76,390.46,
F0,1,17,289.00,
